angle_right_shoulder_hip_knee,angle_right_hip_knee_ankle,angle_left_shoulder_hip_knee,angle_left_hip_knee_ankle,angle_right_elbow_shoulder_hip,angle_left_elbow_shoulder_hip,angle_right_wrist_elbow_shoulder,angle_left_wrist_elbow_shoulder,ndright_shoulder,aright_shoulder,ndright_elbow,aright_elbow,ndright_wrist,aright_wrist,ndright_hip,aright_hip,ndright_knee,aright_knee,ndright_ankle,aright_ankle,ndleft_shoulder,aleft_shoulder,ndleft_elbow,aleft_elbow,ndleft_wrist,aleft_wrist,ndleft_hip,aleft_hip,ndleft_knee,aleft_knee,ndleft_ankle,aleft_ankle,pose
180.5,185.8,132.2,36.3,169.7,170.1,172.9,200.7,0.04,135.7,0.02,219.8,0.17,258.2,0.4,96.4,0.71,91.6,1.0,91.1,0.0,82.3,0.0,287.9,0.18,265.9,0.38,84.6,0.56,69.6,0.51,86.8,1.0
128.6,283.9,186.0,178.2,33.2,29.0,16.9,17.5,0.0,64.2,0.2,61.0,0.09,55.2,0.36,82.8,0.52,71.3,0.6,84.2,0.04,126.7,0.21,118.3,0.09,114.7,0.37,96.0,0.67,92.2,1.0,89.8,1.0
175.4,181.0,247.4,24.6,31.5,34.1,12.9,23.3,0.04,53.0,0.21,59.8,0.1,61.9,0.37,83.4,0.66,87.4,1.0,89.9,0.0,112.5,0.18,118.1,0.1,124.5,0.36,96.3,0.54,116.7,0.48,97.3,1.0
120.1,303.7,184.9,179.8,32.4,25.9,16.8,16.0,0.0,68.5,0.21,63.5,0.1,57.8,0.36,84.9,0.51,70.6,0.55,84.6,0.06,126.5,0.23,117.3,0.12,115.5,0.38,97.0,0.68,92.6,1.0,90.4,1.0
174.6,181.3,245.3,31.2,24.1,31.9,12.5,25.2,0.04,54.4,0.21,64.0,0.09,64.4,0.38,83.8,0.66,87.5,1.0,89.9,0.0,111.7,0.19,116.7,0.09,124.6,0.35,96.4,0.53,115.1,0.49,97.5,1.0
123.0,320.0,183.9,180.3,31.6,2.7,29.1,42.4,0.0,82.3,0.2,68.3,0.07,56.0,0.36,87.7,0.52,71.8,0.51,91.6,0.07,128.0,0.23,107.9,0.15,102.2,0.4,98.7,0.69,94.0,1.0,91.7,1.0
174.1,181.4,241.6,16.9,1.8,29.0,78.0,35.2,0.07,52.7,0.22,73.3,0.19,82.0,0.39,82.7,0.67,86.7,1.0,89.3,0.0,102.9,0.19,113.2,0.09,126.5,0.36,95.2,0.55,115.3,0.45,96.1,1.0
118.9,316.8,182.9,182.0,32.0,0.8,30.6,49.9,0.0,77.7,0.19,66.3,0.07,52.2,0.36,86.4,0.52,68.7,0.53,87.9,0.07,127.5,0.22,105.8,0.15,99.6,0.39,98.1,0.68,93.1,1.0,91.1,1.0
176.1,180.2,243.1,20.2,0.1,32.1,76.9,37.4,0.06,53.6,0.21,75.3,0.17,86.2,0.38,83.3,0.67,87.5,1.0,89.8,0.0,107.2,0.19,116.3,0.09,133.1,0.36,95.3,0.55,116.2,0.46,96.5,1.0
122.9,322.5,182.6,180.9,33.5,3.5,33.8,90.9,0.0,85.3,0.19,68.4,0.06,54.7,0.36,87.7,0.53,70.2,0.51,90.0,0.06,128.2,0.21,105.2,0.2,98.6,0.38,99.0,0.68,93.7,1.0,91.4,1.0
176.1,177.5,242.4,17.2,1.9,31.7,239.9,41.6,0.07,51.0,0.21,74.4,0.22,85.1,0.39,82.6,0.67,87.1,1.0,88.9,0.0,98.9,0.18,112.9,0.08,132.8,0.36,93.3,0.55,114.4,0.45,94.6,1.0
122.9,319.7,180.3,184.3,31.9,8.4,36.7,64.7,0.0,85.7,0.19,68.4,0.07,52.5,0.37,87.5,0.53,70.0,0.53,88.5,0.07,127.9,0.21,103.1,0.12,89.1,0.4,98.5,0.68,93.0,1.0,91.3,1.0
